	member	tau_1	tau_2	tau_p	T_q	S_1	S_2	S_osc1	S_osc2	b_1	b_2	b_3	b_4	F2x	GregoryF2x	GregoryT2x
E3SM-1-0	r1i1p1f1	1.0476109036427652	80.00000079744589	8.485632785325233	84.19491121489916	1.5056441664628184	4.0129062022422435	6.509202843396622e-09	3.7917412047889734	3.8590333604015785	1.9728831125181576	2.819727952330933	1.0456249594025555	4.8486346923266135	3.332399859966082	5.326724591033552
EC-Earth3	r3i1p1f1	3.4967698090486583	100.13851210962338	99.99976992432268	132.92069144396538	3.6848088218713393	4.101809191200242	0.4200935520260882	0.004373102719251175	4.299983981565774	2.831008404558814	0.2524880704966422	0.3179487350446719	3.850714595832951	3.3408564819604845	4.175196849412512
EC-Earth3	r8i1p1f1	2.6952646271438194	79.47135459989369	46.99229512842086	299.99569694002673	3.6880112917811134	3.3051277116156315	0.8026027388063279	6.420902964987541e-06	4.466033625206622	2.506576153108079	0.4920646619811129	0.6383646141073929	4.051519527201603	3.4974421316896547	4.238610257798558
EC-Earth3-Veg	r1i1p1f1	2.3378033017365296	80.00002819783413	23.1882478121434	299.9999999139792	3.2219922149841054	3.1416741307473366	0.4180861600680644	1.1292939280114715	4.651563272271504	2.212995151711637	1.0320462415334821	0.7245117531922735	4.310558209354446	3.469806094726428	4.322416607788798
FGOALS-f3-L	r1i1p1f1	1.3393803592111198	143.2401920833606	8.000004555154728	299.94598149319137	1.989492593228674	2.0662966338643094	0.1692673308694972	1.6922981175800182	2.719011266082028	1.7571996897485676	3.7740670441166735	0.7102231109704149	4.480250555458842	4.072270897834748	3.003620251687752
FGOALS-f3-L	r2i1p1f1	1.3719759817100978	97.42496633852464	8.000003016181733	69.14939127566484	1.743341431962789	1.8963334616867047	0.616675379014513	1.376350827769138	3.826905943156508	2.0850274138015084	3.082430265505224	0.7800123611843192	4.88718799182378	4.110768896603928	3.017631512479194
FGOALS-f3-L	r3i1p1f1	1.510606885548598	88.93268245282108	9.960823973833488	299.99016729801923	1.9120393280384198	1.8424170293070816	0.8202705664593168	0.9594427521567956	3.394806741843261	1.8214330236446084	3.295945757703408	0.9409052896991256	4.726545406445201	4.0992569770631535	3.001714362589118
FGOALS-g3	r1i1p1f1	2.87639004726118	84.47849627220602	99.99968512002908	58.598271038681574	3.260843230405444	1.6354369241117732	0.057642984203888574	0.0030889120684214344	4.895520144943344	1.7751791508828572	0.09994514488694396	1.1064516691077353	3.93854805491044	3.595893336159821	2.876702631911701
FIO-ESM-2-0	r1i1p1f1	3.3622113439699994	158.94042930358472	43.44671292124029	83.57853904539276	3.678395248594835	3.8479167761969615	0.37094788847237503	8.007005874999251e-07	4.3769921232993685	2.7519947006381464	0.3535229444604416	0.8836947812892748	4.183102274843616	3.6936212158074873	4.251011979406966
FIO-ESM-2-0	r2i1p1f1	3.6137652180536364	80.00000037945506	99.99625944734686	79.66787299193399	3.6483118933778496	2.840595734102096	0.17887744346061896	0.00593818522264955	4.096993297668929	2.3528275903093387	0.08220969840954066	1.5674284041325786	4.049729495260193	3.737097168951795	4.174891114012255
FIO-ESM-2-0	r3i1p1f1	1.7228023198877525	105.36883507306128	20.971258275791786	101.20021289921878	2.1755003392023213	3.2341202424688618	1.692512088779321	7.864017730341287e-07	3.461780384558462	2.6575675699293217	1.3049891259701054	1.2731220350964043	4.348729557777148	3.733795497691754	4.2155138729629895
GFDL-CM4	r1i1p1f1	2.177773745981093	96.92072083325816	23.48447164092188	94.77492403746805	3.2454263090116835	2.8649001271314503	0.4284740323949292	3.094104819023613e-07	5.984283929644568	1.5430179489730194	0.3874184011040693	1.4273308536590001	4.671025566690328	3.196847816408221	3.9226554791708224
GFDL-ESM4	r1i1p1f1	1.4269360864602674	80.00000007121766	8.000000000002643	294.1680549118666	1.6046508494146985	0.9660233538773384	0.4537691969128896	1.3664940277368491	3.14178488353269	1.2233468734385895	2.278155644261985	1.3122972094906469	3.977792305361956	3.6393538269839736	2.6576540064554584
GISS-E2-1-G	r102i1p1f1	2.297974401499269	268.13411260323204	57.67774710491154	83.03154759589684	3.1137852634632655	1.8502324036512041	0.27450764457164945	1.571742735961834e-12	4.2199274255510435	3.02853238904823	0.4576140760065393	3.597883174721872e-07	3.8530371251970648	4.16298660684204	2.644968145112379
GISS-E2-1-G	r1i1p1f1	2.4585010888092698	331.14102049199164	99.9685933390093	89.79545005873005	3.2504654497807137	2.2412414734356	0.15838982995230422	3.94394517044816e-11	4.772615216827671	2.8513286523440247	0.2571459506910168	2.3690679973320528e-08	3.940544921776696	3.9319683139370563	2.71546377300228
GISS-E2-1-G	r1i1p3f1	2.5553923367272406	331.1410202078296	99.96506170888546	87.34556436364798	3.0955479499860097	2.0657979171189647	0.1586678957528831	2.4396418218941557e-10	4.621003119345163	2.803926265604666	0.29680936921009954	1.2566006568626165e-08	3.8608693833629673	3.8929061475641813	2.5749038838598945
GISS-E2-1-G	r1i1p5f1	2.374166442106348	434.04140656690566	99.99314881086184	102.0155573504598	3.253585708826513	2.088043834344557	0.2229367916622026	4.96316987508294e-10	5.438748695438327	2.6687497593006717	0.318205250813588	1.3840389945229954e-09	4.2128518534683135	4.12823737265528	2.613644693441637
GISS-E2-1-H	r1i1p1f1	1.6630649815032066	80.00000005516281	12.739836319999327	125.81504097704052	2.054389410492645	1.898496715224696	0.8185974182300346	0.5585257430732392	3.3416511873385706	2.0114879717196605	1.5327686227192348	1.0705818951990995	3.9782448384882834	3.609817036777234	3.0843142673955324
GISS-E2-1-H	r1i1p3f1	1.3072660167898191	80.00000005768246	8.000000000000005	298.22059344485814	1.6188340249420468	1.85132374062686	0.2727432191779947	1.5534198092397986	2.7999586048071694	1.739827789377211	2.2211171228316013	1.1414778790794022	3.951190698047692	3.39789901861536	3.123778473166102
GISS-E2-2-G	r1i1p1f1	1.3963988094693445	499.9999801466822	10.2222034179023	292.4383325067458	1.950487086113628	0.5721521590630652	4.5881660599156326e-05	1.6227144475122584	3.3650785261592997	1.6783234062651522	2.143259729016469	0.3815200959818788	3.7840908787114	3.7300560184080016	2.410065043927783
HadGEM3-GC31-LL	r1i1p1f3	3.0647647773028366	154.56150644945726	38.37654751337085	299.9985097735373	3.328574894149664	4.640744683508757	1.7567319194657522	0.00011620748575247307	3.4094383337919965	2.5807194357034042	0.9742288482030854	1.0501988079533475	4.007292712825916	3.4773091383677373	5.5559211180336
HadGEM3-GC31-MM	r1i1p1f3	1.8993297935424225	141.78128010665694	28.743809112517773	179.4559526059669	2.7856346013130486	5.282353708172948	1.7086200241611722	0.07997319108899037	3.5562871191486662	3.32271371980122	0.8822263849822093	0.7471753882588922	4.254201306095493	3.5502276991568094	5.463234253212844
IITM-ESM	r1i1p1f1	1.2075188831012704	134.87634076257564	8.000000013139253	299.1835392606536	1.8144281699555336	0.9091171109745856	0.34015288896511564	1.1355600737303575	3.2712287050815534	1.6146890516406298	3.0842881473697563	1.0810136898153122	4.525609796953626	4.546237842273253	2.3613631319101205
INM-CM4-8	r1i1p1f1	1.4741848333424423	80.27409555544817	14.52510919484042	299.9999675356117	1.5517981710292172	1.4376466102957497	0.8158650673347619	5.801481811618103e-07	3.1120286876540364	1.7146486686121702	1.6499778203465882	4.4408920985006246e-15	3.238327588306399	2.7165262596518245	1.833784164276758
INM-CM5-0	r1i1p1f1	1.4204286730401836	107.53862236398834	14.590752717696926	299.9999906836488	1.5120973319743132	1.3498764120406226	1.0079718727208986	5.345743467888298e-07	2.8175248965481874	1.8640407444278533	1.9342881904431133	0.042667845730749436	3.3292608385749523	2.943525427293129	1.9121990438933287
IPSL-CM6A-LR	r1i1p1f1	1.5678470009918548	80.00000507402628	10.672006668802952	86.15453458459395	2.660317408235743	2.8450109071215786	3.876072858577384e-05	2.1358281137729547	4.767760753424748	1.8296109966997525	1.6182999158236555	1.2122706655466615	4.7139711657474095	3.4577500108111434	4.525570250040704
KACE-1-0-G	r1i1p1f1	1.0707691841090683	110.84519522099748	8.000000017908333	299.61001535212563	1.6327925407082162	3.179681011633944	0.8031420754936234	1.9965862572822681	1.475920020342195	1.9262792401193776	2.880329144735117	1.8007945502165468	4.041661477706619	3.617418158709076	4.883378260840004
KIOST-ESM	r1i1p1f1	1.4186498845210571	276.3409103419588	20.33578075333876	83.63350159653342	2.5098192722786568	4.434211409954631	0.9637790661159316	0.03928480816928892	3.5280654079185334	2.8867474107209423	1.3113203173835029	1.289290896266948e-10	3.8630665680759537	3.177417192451753	3.4832601976403565
MIROC-ES2L	r1i1p1f2	2.412969663930409	223.76158520396717	24.995126135216164	299.9785372805942	2.3812248475720086	1.3463834787160045	1.094412040415487	1.1153256351814632e-07	3.8329321271406975	2.19089587989593	1.3634285792944456	0.6859659723995709	4.0366112793653235	4.11065197194308	2.660075471730935
MIROC6	r1i1p1f1	2.269434754768976	80.00075140985079	23.462405713919722	99.79288606976505	2.7513593829707594	0.9048744520683704	0.312011854820779	0.19022667597914766	4.5992742980515535	1.079220582793559	0.658068512834932	1.5569490236241927	3.9467562086521184	3.7769514044409167	2.571830094087776
MPI-ESM-1-2-HAM	r1i1p1f1	1.5581633267090096	273.5783132618194	14.041754970381286	299.9575035000384	2.2434704592251427	2.400960936833925	0.5337095339684352	1.0922725517772327	4.098966258406349	2.28167842153413	2.6590058740231344	0.29659881284249234	4.668124683403051	4.0596734895183095	2.9767975738948733
MPI-ESM1-2-HR	r1i1p1f1	2.4865123966602765	80.00000000398579	29.829181784527464	55.8556298060851	3.2298395555898165	1.9042822156237824	1.2789769243681803e-12	0.04444690011457375	5.329369413777906	1.7737386874943073	0.18940471830137168	1.1621293307324172	4.227321075153002	3.705560991139728	2.962377166973589
MPI-ESM1-2-LR	r1i1p1f1	2.527078217057886	102.6115308146028	35.62226344421481	83.50972703934639	3.3518694847612767	1.6537387769814968	0.2990364725199469	0.07348056663739544	5.861954668345662	1.9657489809646989	0.5266640903265825	1.095020092681504	4.724693916159224	4.2627979447370805	3.0125260915293373
MRI-ESM2-0	r10i1p1f1	1.5209722788524092	204.41008703300116	16.75745698562178	88.34427219917877	1.8889805666532804	3.6051168316181457	1.1993799760605657	4.9960036108132044e-15	4.654039453906634	3.257460060738928	1.2476646040559167	2.8177440936083542e-08	4.579582073439459	3.3766174561400297	3.1571761257037463
MRI-ESM2-0	r13i1p1f1	2.3237793411196517	230.61098370847424	26.12330735646441	85.8664112675681	2.667893235933152	3.4726246524729865	0.5946646975264047	5.149626391975914e-09	4.361451066941978	3.1117945631273227	0.7341903629028625	7.477179986281612e-10	4.103717996859942	3.5668254900425973	3.0827697637636646
MRI-ESM2-0	r1i1p1f1	1.0905205717858382	210.6671110765221	13.43633581902782	97.8128804855885	1.4806051637782491	3.8205028950854087	1.5668321261517748	4.6221793059686433e-10	5.105726703347142	3.259211111768863	1.6718496706263877	2.0429141711630905e-09	5.018393743892654	3.3871839492122686	3.1586389233867584
MRI-ESM2-0	r1i2p1f1	1.85575360811342	247.41932680942185	23.07673271337668	81.90092153386178	2.3607688824556385	3.5563546376415225	0.8825434231236682	2.185405190147094e-10	4.515941072533433	3.0924379329738554	0.8442273726275791	5.155831317438242e-10	4.226303189325225	3.533191750737608	3.0798784228677816
MRI-ESM2-0	r4i1p1f1	1.8665506196571544	226.02182504460083	19.319175271130334	91.04981347029957	2.153662757882583	3.6737308517139136	1.0102743594381578	8.012397412215932e-10	3.992066790726272	3.1669027278375883	1.1246537778124883	1.1390888232654106e-12	4.141811648188743	3.425438221090251	3.1400249874526858
MRI-ESM2-0	r7i1p1f1	1.6962119789688508	279.13304972469206	16.430476376068945	94.97518439590185	1.9918226293732235	4.082350485882428	1.0483549329750217	0.20883260125863198	2.780713851692872	2.9737107024529363	1.7991959951933043	5.049849427507525e-11	3.7768102746948053	3.3613110858274657	3.1717440009012003
NESM3	r1i1p1f1	1.191623844812068	163.17249518566632	16.760275932130778	299.99981861797187	3.682359320872868	1.83177365301618	0.004072045708189198	2.2635403432259857	4.944637869276972	1.8321230566709068	1.4365287895893624	1.142669730092407	4.677979722814824	3.8665857196002698	4.688025519370203
NorCPM1	r1i1p1f1	2.831625194279319	80.0000000462477	99.96729846716364	42.995282431524245	2.779347836702123	2.187925830951204	0.09726220484834723	0.0016098317915224092	4.7526405839168895	1.9156419554645825	0.11286884219986262	1.3108504740301985	4.046000927805767	3.311501068257955	3.0570600456701387
NorESM2-LM	r1i1p1f1	1.3506541538857813	175.80460327901088	23.749171105419197	43.118138575643044	2.392587048787336	2.094133417797525	0.5401299765098682	1.0992981858137796e-08	9.762898489170249	1.5859846851098776	0.35241182483434563	0.9375218889572496	6.3194084440358615	3.4143845260038845	2.5837531265598352
NorESM2-MM	r1i1p1f1	1.4289384468267994	167.7340934171061	10.9904658923309	56.00950241910905	2.3399884429651343	1.610272113267377	0.7618521312497264	1.2989609388114332e-14	7.033769171066562	1.8972394811993238	0.7733684079155339	0.6883662635337373	5.19637166185758	3.907476453489358	2.4373104847075053
SAM0-UNICON	r1i1p1f1	1.9513196668500004	324.5513120886381	12.322965924113241	153.10064720994552	1.813767911434152	5.077793994390778	2.1097644945095952	4.7350680043578555e-09	5.576271069498093	3.2612232268277683	1.553499084294917	3.5123849939644465e-08	5.195496707872313	3.923310244152189	3.716251974721573
TaiESM1	r1i1p1f1	2.4651893714954096	276.34173857734714	28.72643698503804	128.7232672576105	3.039475275820132	5.470835908034913	1.3341151521003156	8.77212902317126e-09	5.0100493980322565	3.4966868519730263	0.9904196131562736	2.2343678574010543e-08	4.748577942752617	3.860757071129215	4.341615970979331
UKESM1-0-LL	r1i1p1f2	1.6024883919275892	80.00000001457045	11.297690939816873	299.99882778678216	2.4321404503701465	3.1860319138512216	0.0009651716461989146	2.673014405220885	2.290186288843264	1.870501979139739	2.0293773816725884	1.735559697993595	3.962812673824593	3.602873840749475	5.364982048362038
