	tau1	tau2	tau3	tau4	a_1	a_2	a_3	a_4	b_1	b_2	b_3	b_4	F2x	T2x	GregoryF2x	GregoryT2x
CNRM-ESM2-1	1.2140795938944189	7.182763988002501	80.30455776045375	5000.0	0.8621520847822537	3.5350427454771816	2.2086159463558523	2.44318262531659	-0.295068707370248	1.9223370649515727	1.5857597365513605	1.754175796231741	2.4836019451822127	4.524496700965939	3.0221202283720894	4.734672525475369
CNRM-CM6-1	1.7399382802710484	13.814099078390448	91.85191038399952	5000.0	2.8015978750795085	2.465652817600799	1.9702034247281857	2.3840400126673087	3.371971132477108	1.5036880626404838	1.5646486189395437	1.8932993753328509	4.1668035946949935	4.8107470650379005	3.645579886235837	4.917582015977792
HadGEM3-GC31-LL	2.9755810184353604	25.59354264586916	394.2835765017183	5000.0	3.156200548936233	3.4358672526268985	4.417553644463035	0.4794750586068552	3.2604483831556936	1.9683050625843463	2.533834327749378	0.2750188137093623	4.01880329359939	5.7445482523165134	3.4773091383677373	5.5559211180336
EC-Earth3	2.4805655909139293	23.459194870032757	165.42762529260548	5000.0	2.866272572944112	2.6470171144632904	2.7331745434862804	0.0977362460794815	3.966326626840922	1.8002206062416275	2.2585010941717445	0.0807622840029784	4.0529053056286335	4.172100238486582	3.3408564819604845	4.175196849412512
TaiESM1	1.4179931622200268	8.890686837099901	299.26261872057086	5000.0	1.7770066656787142	3.076020312019712	4.304123172385906	0.1577528116356266	3.3256663809865983	3.055181860513198	3.1220211256414574	0.1144269322299038	4.808648149685579	4.6574514808599785	3.860757071129215	4.341615970979331
SAM0-UNICON	3.766094187121915	19.63918147503277	288.4882135630015	5000.0	4.174332366161328	0.0	3.8240814251115935	0.0403741044641936	5.539788340404991	0.0	3.1914224959798254	0.0336945820232656	4.382452709204041	4.019393947868558	3.923310244152189	3.716251974721573
NorCPM1	1.0009837904598848	5.128083164608522	87.63070112580964	5000.0	1.0759487073493377	1.934028937003272	2.0890701312813937	1.5800250363702064	0.8879251778302362	3.55191726874978	1.7373596760464456	1.314016099425845	3.7456091110261536	3.3395364060021047	3.311501068257955	3.0570600456701387
NESM3	1.2649150712521908	12.382994260274751	89.64292432416215	5000.0	3.4555878662789885	2.0812576888509406	1.875098537763345	1.89923984125694	4.73847993515808	1.4846575593718525	1.585581793982501	1.6059956605242078	4.7073574745183215	4.6555919670751065	3.8665857196002698	4.688025519370203
MPI-ESM-1-2-HAM	1.4171027108697902	9.447991413635611	226.2544573931356	5000.0	2.0439841452090635	1.838606837113468	2.042484066770681	0.443266303142984	3.8430517203514616	2.877913689317459	2.172522960853536	0.4714877521044176	4.682488061313436	3.1841706761180983	4.0596734895183095	2.9767975738948733
KIOST-ESM	1.11338686963874	5.613726779873077	286.73487078796336	5000.0	1.745238568045097	1.9702797475166929	3.9192994920228896	0.132227456316639	2.273727603389065	2.7402048086186883	2.6295020134542098	0.0887128843626783	3.866073654912322	3.883522631950661	3.177417192451753	3.4832601976403565
KACE-1-0-G	1.0998695051233178	6.855401972151448	173.7108217953208	5000.0	1.6896944067493902	2.9680495848119635	3.7597184495917486	2.2035545575609703	1.8602917753359889	2.8632907674061943	2.2594027093759643	1.3242260569143491	4.153605654516248	5.310508499357036	3.617418158709076	4.883378260840004
IITM-ESM	1.1048933337460425	6.14192671791852	177.60314384598487	5000.0	1.674634800064355	1.6484593826369114	1.0229244067581214	0.3849857275689397	3.8371205211679458	3.0594554063414483	1.951030688453292	0.7342859004449664	4.790946258203826	2.365502158514164	4.546237842273253	2.3613631319101205
HadGEM3-GC31-MM	1.4848670966647115	14.653447383740716	227.7781207617677	5000.0	2.28708743029122	3.2839980307908703	4.9381128821174425	0.3934568612023508	3.174730622236716	1.9655059108877464	3.2406334865224347	0.2582058187717262	4.319537919209313	5.451327602200941	3.5502276991568094	5.463234253212844
GISS-E2-2-G	1.37959332230526	10.20405539245954	754.0379038998062	5000.0	1.9071383651461955	1.6751852580896422	0.7673953186404319	1.756541511295758	2.9403279450560844	2.689702545034489	0.5582107260540929	1.277725167911779	3.732983192028224	3.0531302265860134	3.7300560184080016	2.410065043927783
GISS-E2-1-H	1.3474189218231518	7.490098477406275	108.63000924826244	5000.0	1.6426204879128057	2.0487625436436963	1.8092681013084069	0.6865783012562554	3.0915612185747188	2.3002612238247435	2.097625608050741	0.7960037683777212	4.1427259094139615	3.0936147170605817	3.609817036777234	3.0843142673955324
GISS-E2-1-G	2.8517311624029733	22.70429378530678	301.9135686051765	5000.0	3.4456312070151536	0.0	1.8617197903586509	0.1341352567002047	5.3981358569973965	-0.0	2.642804314957788	0.1904117026800156	4.115675937317598	2.7207431270370046	4.16298660684204	2.644968145112379
FIO-ESM-2-0	1.1062268047973327	7.2319426728700575	260.11801118701646	5000.0	1.1293959176806945	3.4543696429962094	3.930421150147832	0.0889055649351799	2.3862210537934274	3.2542340393666453	3.2795366079928963	0.0741826495738875	4.4970871753634265	4.301546137879957	3.733795497691754	4.2155138729629895
FGOALS-g3	2.804174145960417	16.633924527694433	142.65084853837038	5000.0	3.127848097812622	0.4554663402804429	1.7124228800850023	0.8327136759551257	4.772150602481299	0.6547958787273215	1.6951343479667178	0.8243066420971275	3.973193735636233	3.0642254970665967	3.595893336159821	2.876702631911701
FGOALS-f3-L	1.0588878641000914	5.625906058685444	102.6226221935007	5000.0	1.3357441398580496	2.4612436382861134	1.825256354856439	0.6386828006990477	2.390894241035157	4.2551030839601465	2.067541837434458	0.7234618894938496	4.7185005259618045	3.130463466849825	4.0992569770631535	3.001714362589118
EC-Earth3-Veg	2.2344746192052054	21.580033035739326	86.31095756714869	5000.0	3.124174254484433	2.0343617520807333	2.7538452574425234	0.8130719490365745	4.2629985521437925	1.4800790510968778	2.1464719277168904	0.6337451638229856	4.261647347390273	4.362726606522132	3.469806094726428	4.322416607788798
CNRM-CM6-1-HR	1.9531340977943537	13.133211490020711	277.5725295914813	5000.0	2.240832749273492	3.2301007612460126	2.7911041095389213	0.039529791982126	2.0058079302444662	2.533828161821557	3.0504193147118746	0.0432024160462933	3.816628911412096	4.1507837060202775	3.9031460730301832	4.394245564337717
CMCC-CM2-SR5	1.4823587804506686	8.662736728074723	80.3469669610295	5000.0	2.3279387675060965	1.8730092747009337	2.1349914260606724	0.9214026882437514	1.8942828709849835	2.5023879182398105	2.0936969465682247	0.903581143880844	3.6969744398369313	3.628671078255728	3.774412055438335	3.565428259991777
CIESM	3.667083292524592	23.64645026502196	321.53883796505687	5000.0	3.604343652044202	1.8189670296144809	7.080631902948495	0.1756435221062418	3.942183256976176	1.436080778032304	3.588363480106726	0.0890136373253493	4.527820576220278	6.3397930533567095	3.847747543309657	5.599164691253098
CESM2-WACCM-FV2	1.1446846495460932	6.129186081538558	428.3647005764725	5000.0	0.9109465015886692	3.1197798384372737	7.379897029176727	0.2463998900277691	0.4619337764672356	3.0901992328789483	2.986013841094844	0.099696984816771	3.318921917628898	5.82851162961522	2.91694192750407	4.76863623568658
CESM2-FV2	1.0417858878734207	6.0747669554676405	398.5820585092752	5000.0	1.0512755842890489	2.9549802617448044	8.99506038659991	0.2155575165473831	3.4847236017624064	3.3429780459544003	3.0695512512446688	0.0735586884573793	4.985405793709426	6.608436874590572	2.8258593925048308	5.233605206840794
CAS-ESM2-0	1.188449535676658	7.574615485275799	107.0890712515427	5000.0	1.5673252916489668	2.4395415404434284	2.4307904194310224	0.9668911912163232	4.084975481389816	2.485667732814856	1.8249512850285856	0.7259076339070294	4.560751066570144	3.702274221369872	3.192423228818401	3.516953833125072
CanESM5	2.218939374775227	13.273589459753769	171.02089985824531	5000.0	2.3070318737594246	3.536743049870431	4.008073113455162	1.849540512634551	1.616742005930619	2.433714620026713	2.331479516845435	1.0758700499517475	3.728903096377257	5.850694274859784	3.5981487441638857	5.670391962478483
