	member	tau1	tau2	tau_p	T_q	S_1	S_2	S_3	S_4	b_1	b_2	b_3	b_4	F2x	GregoryF2x	GregoryT2x
CESM2-WACCM	r1i1p1f1	3.2038778758485047	19.906427946669076	131.07647014368422	304.68719506627224	3.0570421035258413	2.9382573383924337	0.00015957193821436455	0.5961866299384078	4.7563860097844906	1.6003008572154451	0.26610151674077376	2.159530177935021	4.391159280837866	3.286512219128263	4.7142939400528325
CESM2-WACCM-FV2	r1i1p1f1	3.8548141029214418	39.999939459566704	599.9999999535482	1386.5463043159577	3.4882313339074784	2.5306329828075045	5.8186649522965626	3.2054685232867497	3.4515851489792744	1.2050129019346705	2.2548596641233822	0.03487317597866968	3.4731654455079983	2.91694192750407	4.76863623568658
CIESM	r1i1p1f1	3.5304347014205506	39.999999960057	544.624870505197	1595.7078089082754	3.5768800906687837	4.495139757183604	5.984562154696686	5.999353559507813	3.7283791046853865	2.7851405401791074	0.6530776305929143	1.7659802518837524	4.46628876367058	3.847747543309657	5.599164691253098
CMCC-CM2-SR5	r1i1p1f1	1.0765452975199763	6.000037976234513	53.470671254964024	498.83253579037233	1.6982579894774064	2.401943729300493	0.18354498286439114	1.677897705548819	0.10940014529183226	3.739597951030137	1.4236948572117711	1.3798942027862482	3.3262935781599943	3.774412055438335	3.565428259991777
CNRM-CM6-1	r1i1p1f2	1.7886851030560549	16.798186161828838	417.9597975808409	374.89636127498636	2.8944211936653197	3.0002614193572748	0.5771129993118883	7.119121858689681e-08	3.5669699449638603	1.7939034343986835	0.4851406265924257	2.5183222994982843	4.182168152726627	3.645579886235837	4.917582015977792
CNRM-CM6-1-HR	r1i1p1f2	2.0349806234173093	17.75213208278452	599.9977184564648	225.2286454899296	2.4439903779368715	3.9352254931783226	8.385878991212793e-09	0.01891553258246581	1.8970412213620025	3.4746172903621857	0.02211740745537046	2.0990271554022137	3.746401537290886	3.9031460730301832	4.394245564337717
CNRM-ESM2-1	r1i1p1f2	5.5421539897498215	39.99983253233648	69.5440283424901	252.73151430988463	4.372120371432759	1.3872015703233374	3.142110924680974e-05	0.3876398242195753	1.5694793784599799	1.6159584473658812	0.08667481168932446	2.0534347451606703	2.6627736913379283	3.0221202283720894	4.734672525475369
CNRM-ESM2-1	r2i1p1f2	3.5810449095182526	39.99984313208032	50.00000825723085	658.3659951655525	3.7332571509915966	0.00018249634167993856	0.35355217208156065	2.0974789662758946	2.598891379267484		1.5724393188770958	2.05471676455044	3.1134798288951218	3.0914905943847457	4.6118529305362825
CNRM-ESM2-1	r3i1p1f2	4.9084675987618365	39.99999981604324	50.000000034817646	199.57941659914363	3.673659808695785	2.2513712916760182	0.00036821151906707433	0.2841813962215649	1.6613758517159112	1.9267127631288128	2.3935824458391034e-07	2.0198143271275937	2.8039515906652808	2.96752597002342	4.778579578837978
CanESM5	r1i1p1f1	1.2784209416514458	8.496703146243306	78.85669714869361	4072141.005522824	1.57653816802448	3.5437227223603065	0.00722971726951005	3.482855094924444	1.389892634001824	2.5463999765181966	2.121987104633956	1.7876168139427762	3.922948264548377	3.6864397633286927	5.6227246166074085
CanESM5	r1i1p2f1	2.6693337337882923	22.46680520177805	599.999999781792	224.89359688751614	2.828395554667668	4.930741362973054	0.002352635843219764	0.03032454272851282	2.0487847648429867	3.132730783116453	0.015610844173563494	2.27352373070492	3.735325061418962	3.598148744163887	5.670391962478485
E3SM-1-0	r1i1p1f1	1.000000013116932	9.918534415019561	165.0588737881306	17307.62191776483	1.0413845582235854	4.897966568743806	1.368600179178578	2.4732421560312505	3.3172902142559617	3.6362464633888094	1.7041954217508712	0.8940031502975188	4.775867624846581	3.332399859966082	5.326724591033552
EC-Earth3	r3i1p1f1	2.716774921793148	38.27288146913872	599.9999999999999	1710.9904634103088	3.030843918581023	4.999999946757162	4.7432364205196365	5.7022694925366295	4.044652502868792	2.915087889252833	1.0189486280479572	2.815549027257447e-07	3.9893446508622414	3.3408564819604845	4.175196849412512
EC-Earth3	r8i1p1f1	2.587747442788838	39.99999982166429	466.9377422930308	19178.317121861004	3.5797677808823387	3.3264583546576696	0.2414972181245051	1.4017029305063595	4.366091989002552	2.3835142942693577	1.3714360985927	1.8950147007146252e-09	4.060521191879811	3.4974421316896547	4.238610257798558
EC-Earth3-Veg	r1i1p1f1	1.4826961444635158	6.141702313789795	53.711739555632725	2514349.060799173	2.0077242328350557	1.852123106548988	0.009407033980888713	3.758509292247637	3.46597002644576	2.0139174347866042	2.5234585995436283	0.9502740346553225	4.476810047715658	3.469806094726428	4.322416607788798
FGOALS-f3-L	r1i1p1f1	1.1029987178872007	6.1916801529760335	124.772541406454	544386.9575232236	1.6552353832832312	2.144951082079825	0.014991001611221244	1.9580068637841201	2.0509857323219096	4.314886185263777	1.73893268138971	0.8052462768235286	4.455025437899463	4.072270897834748	3.003620251687752
FGOALS-f3-L	r2i1p1f1	1.0853096833575275	6.465911693979376	266.39076753683423	400.48359201249326	1.2374059376134905	2.854094852878431	0.7441404352708203	3.336448150825788e-05	3.222405277902977	4.354340744025047	0.7622826389427071	1.650771465235772	4.994900063053251	4.110768896603928	3.017631512479194
FGOALS-f3-L	r3i1p1f1	1.4206570402564689	6.828239262367427	78.23544276830594	850.1440657694501	1.753373945266925	2.1555719302076826	2.5471802787002673e-06	1.4960471993267943	3.249351435519144	3.797658445585512	1.3705386316844137	1.1015352310412938	4.759541871915182	4.0992569770631535	3.001714362589118
FGOALS-g3	r1i1p1f1	2.5315581223602823	7.216203056713277	109.64713196572359	395471.59204216884	2.6878683392424514	0.7603256814199829	0.019749882132273244	1.6399313673097655	2.6435077576164487	2.093259100777998	1.5531607248210828	1.046367393842842	3.6681474885291863	3.595893336159821	2.876702631911701
FIO-ESM-2-0	r1i1p1f1	2.598827654822649	15.782704738591194	233.2821419853004	227.3065257297857	2.7167401654709247	3.1114379394499245	4.1339320443478655e-06	0.12872076312901792	3.4148515667381747	2.6445907360886203	0.07406877704692426	2.2767800764239605	4.20514557814884	3.6936212158074873	4.251011979406966
FIO-ESM-2-0	r2i1p1f1	2.3121270482130383	16.822310190684185	599.999999450698	189.18011389496758	2.3944479496894706	3.3754764935288186	4.72154315644957e-10	0.023541934864512948	3.979853407190991	2.5144320178814645	0.02322401686048687	2.3140167652890447	4.415763103610993	3.737097168951795	4.174891114012255
FIO-ESM-2-0	r3i1p1f1	1.2608814537654989	12.247398968809874	599.9929229340005	207.80864417096583	1.6027721621213955	4.216587000269342	2.0600829375716494e-08	0.03065732256003328	3.104152754914801	3.5472768883556967	0.023903204009919767	2.3060777977371227	4.490705322508768	3.733795497691754	4.2155138729629895
GFDL-CM4	r1i1p1f1	2.0087504887618124	15.292451253357516	88.28037339319334	347.37179724140327	2.9709145066679357	2.036567210429321	4.461404754296794e-06	0.8753028764024537	6.005265123553269	1.3530932709475405	0.3995807873469226	1.8069152902680568	4.782427236057893	3.196847816408221	3.9226554791708224
GFDL-ESM4	r1i1p1f1	1.3053260045203945	6.038972868969675	57.239784060453616	533.4208993293897	1.4213830558326568	2.0841493460069955	1.5525053809195555e-07	0.7462298891115545	3.0383537196870885	2.6106009151961898	0.9444477044647224	1.4889834224826664	4.041192880915334	3.6393538269839736	2.6576540064554584
GISS-E2-1-G	r102i1p1f1	1.6281009582159447	9.285330265620836	399.9999957955546	247.45418789268916	2.195701899366747	1.836051011171946	6.494804694057166e-14	0.03822004290034653	1.6957841449035431	3.3456322576618485	0.04727050574209361	1.959553383455519	3.5241201458815024	4.16298660684204	2.644968145112379
GISS-E2-1-G	r1i1p1f1	1.2713122063050148	6.537928022790114	399.9997442084488	1568.2233042359785	1.7412406803220437	2.083327892879292	1.8225036965879635	3.6449283683588014	1.1418678912761786	3.7961955145868473	2.222636386129064	1.26661237054293e-09	3.5803498966293508	3.9319683139370563	2.71546377300228
GISS-E2-1-G	r1i1p3f1	2.198864272019371	14.507722493876223	399.9992358995642	268.93709012571304	2.643438659325797	1.272832296348877	1.4240917778352014e-08	0.04296183411146737	3.0843823428565966	2.240013415357721	0.039986523804912924	1.8885622503700747	3.6264722661946536	3.8929061475641813	2.5749038838598945
GISS-E2-1-G	r1i1p5f1	1.0000000000000002	6.000220992002512	399.99999999115954	3670.7930776674048	1.7303942262427263	1.8608422684401	0.7567778513216069	0.006979662250681251	3.9021673621680266	2.8883742683145384	1.2757186073894105	1.3286636539055718	4.697461945888773	4.12823737265528	2.613644693441637
GISS-E2-1-H	r1i1p1f1	2.2222542198837205	39.999999999999936	50.000000000000284	66.068965575503	2.7296628772318448	2.0620070839624653	0.18895747164763144	5.515954359935904e-11	3.9574998130376593	2.208204001091704	0.1422734068690053	1.433711482990594	3.8708443519944815	3.609817036777234	3.0843142673955324
GISS-E2-1-H	r1i1p3f1	1.000000000000042	6.0000188722538494	66.26680196249886	498.38070880548105	1.2852016279487333	2.191725517373337	0.4486218101324566	1.0258862573928642	2.5235839183188835	2.7211561126704926	1.380522557633937	1.4666599116237748	4.045961250123543	3.39789901861536	3.123778473166102
GISS-E2-2-G	r1i1p1f1	1.0000000000000002	8.240552513308046	66.59182354348609	187890851.64033008	1.6090260683667157	1.8687189878328705	3.091151729650577e-05	0.2628317073824097	3.884695965540958	2.236206920815852	0.7128707559499922	1.5788214293973393	4.2062975358520704	3.7300560184080016	2.410065043927783
HadGEM3-GC31-LL	r1i1p1f3	2.9901881941543884	34.9548007283857	599.9136591585124	376.4923379438411	3.242439051703768	4.999999999816758	0.012795784270621668	0.06378097550587758	3.370884574430508	2.7693299374381963	0.03915226292207896	1.8546142056443864	4.016990490217585	3.4773091383677373	5.5559211180336
HadGEM3-GC31-MM	r1i1p1f3	1.7507976599487045	24.416484443944373	599.9982164502293	319.50447010988984	2.59819765454054	4.9999988821000905	0.24054509770105306	0.07199112096023996	3.2189633093599417	3.040793567779381	0.1958032540866277	1.9916806710119368	4.223620401118943	3.5502276991568094	5.463234253212844
IITM-ESM	r1i1p1f1	1.0000000000000002	6.000001822246045	400.0	1071526.6314356276	1.578566696822827	1.764506825109753	1.00283479987375	3.098150009672729e-05	3.202212664832842	3.5678725564670346	1.7730111874081729	0.8265179141745033	4.6848071614412765	4.546237842273253	2.3613631319101205
INM-CM4-8	r1i1p1f1	1.2310512542918806	7.470471802718552	148.1410874274537	780724.1654842448	1.3122657503870685	1.3778419421207553	0.01485450603867855	1.3991036976962563	2.014751864505456	3.120260780739501	1.0126967964874196	0.0	3.073854720866189	2.7165262596518245	1.833784164276758
INM-CM5-0	r1i1p1f1	1.5818694114209189	12.832109837119136	399.9999997497287	205.9442255574744	1.645419697898407	1.6801818078998119	2.8112516647915697e-08	0.019193885074040958	3.154838185699814	2.7249293051154155	0.017713724265004588	0.7561321404879756	3.3268066777841048	2.943525427293129	1.9121990438933287
IPSL-CM6A-LR	r1i1p1f1	1.2501579296140517	14.449085081719987	97.08287551242904	247.1326871060341	2.032551710598348	4.495508157342987	4.1287751617602453e-07	0.4045730719093055	5.037969068007843	3.2270302045872743	0.23780689901069665	1.6726306619688125	5.087718416787313	3.4577500108111434	4.525570250040704
KACE-1-0-G	r1i1p1f1	1.0000000000000002	6.000002841043638	138.5621052891588	231981.14347781785	1.4903975575846946	3.0180722422015536	0.4880031320884009	2.7007774046396067	1.3135971194266396	3.084135275660492	1.8996784770727508	1.7630132722081466	4.030212072184014	3.617418158709076	4.883378260840004
KIOST-ESM	r1i1p1f1	1.000000000005462	10.224622508471773	123.55976535845062	294.38995030020226	1.937681950505364	2.7932522406337776	0.000452184028911673	0.4622693067604131	2.2223686678437136	3.0815233253983494	0.2613472413775612	1.7513549406551363	3.65829708763738	3.177417192451753	3.4832601976403565
MIROC-ES2L	r1i1p1f2	2.7185840947640663	30.19608431366873	399.999990081193	1380.1424557733524	2.603904083823835	2.8665235017420847	0.5372017029107192	5.080152894728139	4.314316819555272	2.232852087953354	1.5334641017069452	4.6342102122398634e-06	4.0403188217128925	4.11065197194308	2.660075471730935
MIROC6	r1i1p1f1	2.0402322596226217	18.08688407122668	399.99873217756146	234.5047707132344	2.4611500778677504	1.4640954513581284	3.893571854929334e-07	0.012932665282302969	4.293766843886112	1.84668390826022	0.01316618585876678	1.8214812969177885	3.987549117461444	3.7769514044409167	2.571830094087776
MPI-ESM-1-2-HAM	r1i1p1f1	1.5765791003708445	12.078289553099625	599.9999999999325	4217.587744415921	2.2566691249771402	1.824160124878644	0.7031826587228113	5.993852664056567	3.5393482088175614	3.4073374485734043	2.072247681392962	2.485420258491189e-07	4.509466793662977	4.0596734895183095	2.9767975738948733
MPI-ESM1-2-HR	r1i1p1f1	2.122000407695108	12.105670624651074	102.08491144345095	5183143.1859800285	2.781411735275017	0.6805191611806525	0.05818963693109225	1.7732748638436702	3.4264027700619177	2.0844559251175623	1.3146714996015332	1.1944071332278483	4.009968664004432	3.705560991139728	2.962377166973589
MPI-ESM1-2-LR	r1i1p1f1	2.0653901332201205	18.21980610870205	599.992092947016	225.2660967004188	2.7900037186110223	2.00261205547599	2.510150514112297e-07	0.016414625096309858	5.365549848901088	2.5715817975311173	0.016840163297010487	1.7714673973980384	4.862719603563627	4.2627979447370805	3.0125260915293373
MRI-ESM2-0	r10i1p1f1	1.3251892261602851	10.17051100467117	171.01146423733758	233.83036558141868	1.56308306478329	2.84512885056378	0.00011004737309550096	0.18547863957937227	3.6011883158823994	3.197102965714582	0.13285227491097518	1.9127755565702675	4.421959556539114	3.3766174561400297	3.1571761257037463
MRI-ESM2-0	r13i1p1f1	2.030118933400128	13.530536934337745	399.99984936066596	216.76768813571613	2.2107091099973197	2.2754670661847447	6.681875053260455e-10	0.04732467115908279	2.8309512702677884	2.8965822713199945	0.035821123722014736	1.924588332360664	3.843971498835232	3.5668254900425973	3.0827697637636646
MRI-ESM2-0	r1i1p1f1	1.000000008818346	7.45388056141189	102.66392398685221	415.9635358852478	1.2041305527441026	2.8294707516529094	0.0010069345387214712	1.1131313046994546	3.398688626751321	3.4078101446039986	0.8598697295706488	1.4906052636480012	4.5784868822869855	3.3871839492122686	3.1586389233867584
MRI-ESM2-0	r1i2p1f1	1.6215357054227888	11.369570898814864	399.99997642954537	222.49046200317105	1.90472298385116	2.5393210138376165	2.3359980616533e-09	0.05075409789116448	2.3811166595677644	3.1691132538483924	0.04039744152703209	1.9520179536355082	3.771322654289348	3.533191750737608	3.0798784228677816
MRI-ESM2-0	r4i1p1f1	1.7030851770987718	11.136174329142003	137.24548314902643	305.7491984418063	1.807320512250124	2.627637763205147	2.6690201981871553e-07	0.4230871614167608	2.492888882166457	3.144336037265372	0.3248691107106461	1.693606332628343	3.8278501813854082	3.425438221090251	3.1400249874526858
MRI-ESM2-0	r7i1p1f1	1.4751339385397435	10.308516379453746	113.55583501857092	415.25384178784134	1.6433193943401765	2.575799240132062	4.866359601951584e-07	0.9015389193688575	1.781691444342865	3.1931941243912734	0.6680218066417624	1.5197409584566581	3.5813241669162794	3.3613110858274657	3.1717440009012003
NESM3	r1i1p1f1	1.1720577718925496	19.482047033013565	514.4828025224954	4448.698513771035	3.636985326696803	2.6403056286744104	0.7379500495803608	2.7192716553713825	4.531641382680951	2.073635458278849	2.5260085547775444	2.3636175794372605e-08	4.56564270968676	3.8665857196002698	4.688025519370203
NorCPM1	r1i1p1f1	1.1804712269565032	6.000035094804808	59.511163745005284	323.1778356110187	1.0994943628918386	2.356352448663694	0.0397421737105288	1.1065418277116204	0.918870758724	3.9337416288419242	0.8490138671154482	1.7493473937744757	3.725486824227924	3.311501068257955	3.0570600456701387
NorESM2-LM	r1i1p1f1	2.5733537031765685	39.995173315808366	84.49020972792252	261.06482588849184	3.490902334834772	2.724855063807041e-09	1.1323431625687162e-07	0.4681768099934144	7.318841515734272		0.27563317269339804	1.7788095515660922	4.686642125453784	3.4143845260038845	2.5837531265598352
NorESM2-MM	r1i1p1f1	1.6767569090742738	6.000000135528892	87.14982336927203	262.50579509515626	2.4733858156082307	1.121252326145452	0.0008794562150976626	0.3145341793552038	4.271250148210726	2.4703537245816336	0.2875926709017976	1.6645305755052502	4.346863559599703	3.907476453489358	2.4373104847075053
SAM0-UNICON	r1i1p1f1	3.2078226576860134	14.153717393960385	399.99475524679406	259.7669770267326	3.2563591309924464	2.0732163954030627	0.09797872393361816	0.07908385743965385	3.8126467724256914	2.395242358468995	0.10951219289981214	2.1511610417766445	4.234281182785571	3.923310244152189	3.716251974721573
TaiESM1	r1i1p1f1	2.033360191611892	18.240038348246827	599.9948053676594	280.1544306389716	2.5176887831871246	3.935045389181276	2.727878003483397e-07	0.060987125672889886	4.3195003543783805	3.0678562668244003	0.0356194776415884	2.089155016067811	4.75606555745609	3.860757071129215	4.341615970979331
UKESM1-0-LL	r1i1p1f2	1.0000000048246795	6.505407118235661	55.74652382031602	253276.13303959882	1.5691572359075838	2.814293417802922	0.11596173060566273	3.4698385599734305	1.1970043339376277	2.4823267955650232	2.124579239445249	1.924148209474772	3.8640292892113357	3.602873840749475	5.364982048362038
